,Review_Date,Reviewer_Name,Review_title,Review_description,Rating
22,2021-07-23,Linda,,This a good buy did feel like going out that week in because weather reason Im the house have everything at hand an a good buy,5
23,2021-07-23,Maggy74,,Ive used these before and they work for me.great,5
24,2021-07-22,Me,,"goid deal though inflation has upped everything, speedy shipment.",5
25,2021-07-22,roseyg9493,Love this product! Love,"Love this product! Love the scent, the packaging, the ease of use. My husband uses them all the time. They have a nice texture and wipe away the mess all at once! Definitely recommend!",5
26,2021-07-22,Ester,Finally in stock,Love anything Clorox use products all the time for years. Since Covid shortage,5
27,2021-07-21,debiann301,When Covud came along,"When Covud came along I used whatever wipes I could find. When Clorox hit the shelves again I stocked up. These wipes are tough; you can scrub pretty hard with them. And, being Clorox, you can rest assured that you are disinfecting your house.",4
28,2021-07-20,mike,,Easy to use and effective.,5
29,2021-07-20,neenees,Need to clean and,"Need to clean and disinfect all at once. Clorox is key. And easy clean. It pretty much gives you, your surface back immediately after",5
30,2021-07-20,mystiel,I love the scent,I love the scent and the strong durable quality of these wipes. The have a refreshing sent that isn't overbearing in the least. Much more pleasant than the usual bleach smell that fills my home ⭐⭐⭐⭐⭐Clorox Disinfecting Wipes Bleach Free Cleaning Wipes - Crisp Lemon - 75ct,5
31,2021-07-19,FreeBird16,,I Love these. Even cleans glass,5
32,2021-07-19,alexisr178,This product this amazing,This product this amazing especially if I need to cleaning something quickly. I know it will get the space clean. It's simple and easy to use.,5
33,2021-07-18,Lucretia,,Everything was well received,5
34,2021-07-18,lilyc85,These Clorox wipes don't,These Clorox wipes don't have a good sent but they do clean object really good.These wipes stay wet for a while so you can clean multiple surfaces.,5
35,2021-07-18,debra,,Very handy to have in house.,5
36,2021-07-18,Audrey,Satisfied,Very good I recommend it to others,5
37,2021-07-17,WalmartCustomer,Leaked all in the box,Leaked out in the box. Just go buy it from the store yourself,1
38,2021-07-15,Patrice,,Love the scent of Clorox wipes versus Lysol..Great buy..Very pleased.,5
39,2021-07-14,None,,okay but all thing did not come.,4
40,2021-07-14,RT,,Great price and convenience! Thx!,5
41,2021-07-14,ChristmasShopper,,"Love the fact that I can finally get them again. They work great, smell better and have a better texture than other brands.",5
42,2021-07-14,Meechie,Excellent for cleaning,"Cleans very well, especially for spot cleaning, or if youre in a hurry",5
43,2021-07-14,maribelg42,The Clorox Disinfecting Wipes,The Clorox Disinfecting Wipes help to maintain the bathroom and the kitchen very clean .I used it every day for the lid of the toilet and I like very much.,5
44,2021-07-13,Debra,,Containers of wipes were dented and must have leaked cleaner liquid because Clorox labels were peeled off containers.,1
45,2021-07-13,Pilu,,It cleans everything in the bathroom so good,5
46,2021-07-12,jenniferm805,We use these all,We use these all over my house for all surfaces door handles counters light switches etc. due to my youngest child being prone to sickness we have to always be safe and take precautions on everything we do so we stand behind this product,5
47,2021-07-12,Margo,Disinfecting wipes,Love them. So hard to find.,5
48,2021-07-11,zuhraa_x,Best wipes. It cleans,Best wipes. It cleans and disinfects. It also picks up my cats hairs from the counters. This is my go to disinfecting wipes. Also they don't dry out!,5
49,2021-07-11,Patty,,Always used wipes for clean ups. Finally we can buy them again!,5
50,2021-07-11,catieh14,Awesome wipes work great,Awesome wipes work great especially during covid! Whole family loves them. Lemon scent is perfect. Use this for everything!,5
51,2021-07-10,mariap678,Love the scent and,Love the scent and how clean my counters are. I feel safe using it. Price is right for quantity of wipes.,5
52,2021-07-10,katherinef70,This one is actually,This one is actually my favorite. Mine was super moist and wipes very good. I like the clean scent that it has also. I like to keep one in my car to wipe the gas pump handles down and also one in my kitchen to wipe the counter that I cooked anywhere with meat. I would recommend this.,5
53,2021-07-10,brittanyy21,I absolutely love these,I absolutely love these for a quick cleanup. I find using individual wipes to be more sanitary than reusing a rag. I wish they made wipes specifically for cleaning wood though. Great product for the price because it takes the place of several cleaning products I would use on hard non porous surfaces. These are definitely a regular on my shopping list.,5
54,2021-07-10,lizziem37,Good for the house,Good for the house it keeps baby an family from getting sick are catch bacteria form the house an kep germ away . texting the product form at the house,4
55,2021-07-09,Maguro,Clorox disinfecting wipes,"I only use Clorox disinfecting wipes, it is the best!",5
56,2021-07-08,Deborah,Damaged containers.,my containers were smashed in and the lids were all cracked. I am very unhappy. SMH,1
57,2021-07-08,april,,"my go to wipes for quick cleaning, and sanitizing",5
58,2021-07-07,musicmovesme2000,Already did a review,Already did a review on this but it wants another lol love these wipes. I posted a life hack for removing mildew with these if anyone is interested. Just check out my page :),5
59,2021-07-07,chadr2,These are the BOMB!!,These are the BOMB!! I use Clorox wipes on virtually everything. I keep 3 or 4 of these stocked in the pantry at all times. Cleans just about anything you need to have cleaned and leaves it germ free.,5
60,2021-07-14,cassidyg32,Household staple. It was,"Household staple. It was so hard for me to not be able to find these during the pandemic. I would buy literally anything just so I had something, but nothing is even comparable to REAL Clorox wipes. So glad they are finally back in stock everywhere!!!",5
61,2021-07-06,katier203,Would be great for,Would be great for all and any messes with satisfaction of knowing ur going to be germ free to I probably over use them but I hate germs,5
62,2021-07-06,Oscar,Must have,Great product always on my list,5
63,2021-07-06,Cheryll,,Cant get along without this!,5
64,2021-07-05,lisae64,These wipes are fabulous,These wipes are fabulous ! I tried to stock up best I could beginning of pandemic knowing they would be the best way of disinfecting ! These wipes never fail to impress how long they last how much use and sturdy just one wipe is ! Definitely will continue to buy !,5
65,2021-07-04,carab50,I love this product.,I love this product. Having a baby there is always a mess to clean up and being able to grab a wipe that kills germs instead of getting out a spray and having to get paper towels while holding a newborn really makes it easy. Love love love these,5
66,2021-07-04,hoogerland,good wipes,plenty of liquid cleaner; they don't dry out over time,5
67,2021-07-03,shopper48,Good product,I use these for everything.,5
68,2021-07-01,MrPete50,,Much better than the discount junk from china.,5
69,2021-06-30,Bunnie,,Handy for clean ups in the car fresh smelling,5
70,2021-06-30,RICHARD,,MY ONLY CHOICE THERE IS NO OTHER OPTION,5
71,2021-06-29,Jackie,,You can always trust Clorox. Period.,5
72,2021-06-29,Leanne,Clorox Wipes,An excellent cleaning product.,5
73,2021-06-28,old2thumbs,Great,[This review was collected as part of a promotion.] Clorox is the only way to get the job done right the first time!!,5
74,2021-06-27,Beth,,bottle leaked all liquid out..,1
75,2021-06-26,Karen,Clorox Wipes Cleans My Kitchen!,Been using them for years to clean up grimy stove top! I could make an ad I love using them so much!,5
76,2021-06-26,crisal,Good,Always trust Clorox to clean and disinfect,5
77,2021-06-24,JennyZ,Boyfriend luvs it!,"I wipe down my VaJayjay every day with it.
Feel confident and fresh!!!",5
78,2021-06-24,Nicole,Great buy!,These are so handy for quick clean ups and disinfectant. We use these daily in our home,5
79,2021-06-24,Diana,,I absolutely loved everything I purchased h,5
80,2021-06-23,Debra,,That was quick.... Thank you.,5
81,2021-06-23,northwoods50,puzzled,"I love the product, but upon latest delivery there was no 'juice' in the bottom of the container - for all of them. The wrappers were all wet and so had to remove them all. For now the first container is fine, but I'm guessing it will dry up before we use them up. Disappointed",3
82,2021-06-23,Benteng,Easy to use,Pretty good .These Clorox wipes are the only cleaning wipes we'll use. Very strong cleaning power,5
83,2021-06-21,leah,Classic household product!,Always a classic and delivered to our house!,5
84,2021-06-21,Zakiya,get it soon,awesome deal especially during Covid,4
85,2021-06-19,Judith,Quick cleanup,Keep these handy in the bathroom for a quick clean up. Must have for our bathroom,5
86,2021-06-17,Calvin,Walmart cheaper and faster than Amazon,Price half of Amazon - delivered next day!!,5
87,2021-06-14,WalmartCustomer,,The clorox wipes were dented and liquid had spilled out.,2
88,2021-06-14,Davey,Long laster,"I've been using this product for over 45 years. It never disappoints. It has changed over the years, gotten weaker but it still does the job well",5
89,2021-06-13,idonotwantto,My number one cleaner!,Nothing compares to Clorox.,5
90,2021-06-13,kelli,,"Arrived very Quickly. Love using the online shopping, so easy. And it's so I don't tempt to buy other than just what i need.",5
91,2021-06-12,Kim,Good product,"Used for many many years, just wish the didn't dry out so quickly.",4
92,2021-06-11,Connie,,I USE THESE ALWAYS. VERY HANDY FOR QUICK CLEANING.,5
93,2021-06-11,Roxie,,"I like the smell of the bleach, because it makes it smells fresh and clean especially if you have to travel and stay out of town.",5
94,2021-06-10,Yanet,Great product!!,We tend to keep these all the time. They clean great.,5
95,2021-06-10,Elaine,,I always liked theses wipes for fast sanitizing and I always like Clorox products in all my sanitizing because it works,5
96,2021-06-09,marie,The best wipes ever!,I use these likes for multiple of things. It really is a great product. That's delivery.,5
97,2021-06-08,jean,Great product,Some of containers were damaged. The tops were smashed in. Put them in old containers I have.,5
98,2021-06-07,Lisa,,love um great value use um all the time would buy again,5
99,2021-06-07,blndaly,The Best,Haven't found this in a year.,5
100,2021-06-07,Jns0,Goodbye germs,These are exactly as I expected them to be. I'm glad they shipped fast. They are convenient for disinfecting surfaces quickly. I marked it down one because it would be nice if they closed better. The containers leak if tipped.,4
101,2021-06-06,Paul,,This is a good product for cleaning,5
102,2021-06-06,Monica,,I use these every single day. They're great when cleaning my cats litter box. I also use them to wipe down the tub after every bath and so does the rest of the family.,5
103,2021-06-06,1happycustomer,The best brand of disinfecting wipes,The best disinfecting wipes I know. I feel assured when I use this brand of wipes to disinfect anything.,5
104,2021-06-05,cheriebfl,Not sturdy,This is not for children or rough adults. My 12 yr old daughter had this for 3 weeks before the front of two drawers fell off.,3
105,2021-06-05,Robin,,Very disappointed. They where smashed and leaking.,1
106,2021-06-04,JUAN,,very happy i was able to get!,5
107,2021-06-04,melissa,,nice wet wipes with a nice smell,5
108,2021-06-04,LILIANA,,"Easy to use, I keep a canister for each floor, very handy.",5
109,2021-06-02,Bostonlover,,"Love the wipes, not the delivery. Came in an envelope and they leaked all over to the point where all the labels were soaked and came right off the containers had to dry them all and now hoping they just leaked and no holes in any of them.",5
110,2021-06-02,razikx,Better than Lysol wipes,"These are honestly better wipes than the Lysol ones. They are both great but I choose this over Lysol any day. I think the quality of the wipes on these are better , they just feel like they handle more wipes before they start to fray a bit",5
111,2021-06-01,Miguelina,Efficient,Really good items and the best quality.,5
112,2021-05-31,GG,CLOROX WIPES,WKS WELL IN BATHROOMS AND KITCHEN,5
113,2021-05-30,Marie,,The wipes was dried up unfortunately,1
114,2021-05-29,Norma,,So glad these are available again,5
115,2021-05-28,Jonathan,i love it,"i loveClorox Disinfecting Wipes, (225 Count Value Pack), Crisp Lemon and Fresh Scent - 3 Pack - 75 Count Each",5
116,2021-05-26,WalmartCustomer,Quickly and easy way to clean.,"Was so glad to be able to get a pack of these while we were moving recently. We were able to quickly clean the cab of the moving truck, knobs and the bathroom where we were staying overnight, and yo clean the new place quickly and easily.",5
117,2021-05-26,milagros,,The problem is that when I received the wipes the containers were all wet. The containers Were not sealed,3
118,2021-05-25,Regina,Great wipes to clean,These are great wipes! When you need to wipe your countertops down and make sure you have cleaned and killed germs? They are the wipes you want! Love them! They are affordable too!,5
119,2021-05-23,Elvia,Very good.,"It really helps disinfect everything, especially cause of the Covid-19.",5
120,2021-05-22,JoAnn,Lysol makes the best cleaning products,Works great. Great price and customer service.,5
121,2021-05-21,karen,Clorox Wipes great products,"Love this product, smells good and makes me feel that things are at cleaner.",5
122,2021-05-20,Judy,It's Clorox. It's good.,It's Clorox. Of course it's good. I use these in routine cleaning all the time. They are convenient and they get the job done.,5
123,2021-05-18,Sherry,,"delivery fast, this is the only wipe I use for my family",5
124,2021-05-17,Lindugas,"Clorox Disinfecting Wipes, (225 Count Value Pack),",I have been using these for YEARS prior to this Pandemic. I used to by them in the 3 pack at a Wholesale store. But the inability to obtain over the past year was frustrating. I am so glad I can now get these to wipe down all surfaces in bath and kitchen with the safe feeling I get from using Clorox products .,5
125,2021-05-16,Gazelle,Great product,"Great product , do the job. Price fair (?)",5
126,2021-05-16,carmenbabysweet,wipes,very thin wipes. it use to be thick wipes,1
127,2021-05-16,Angelina,Ok,Came late in afternoon ! We are Disable and don't like to go out of the fence when it starts getting dark . We are also Elderly and we don't trust strangers .,4
128,2021-05-15,Julia,price,keeping surfaces sanitary from virus is definitely worth it. not bad 3 of them for the price of 10$ and it's quantity,5
129,2021-05-15,FrannieFrance,Disinfectant Wipes,Perfect! For Small Areas to Disinfect,5
130,2021-05-15,Willanda,I have been waiting!!,I have been waiting for these to come back in regular supply since the pandemic!! This disinfects well and works well with other cleaning products like Clorox clean up. I would recommend this product to family and friends.,5
131,2021-05-13,WalmartCustomer,Value for money,"I am so happy, finally, the general public has the ability to purchase cleaning products again. It was so difficult to buy them. The wipes are easy to take out. I used it for clean kids toys, doors, TV tables, counter tops in kitchen and bathrooms. Bonus point: kills COVID-19 VIRUS!",5
132,2021-05-10,Cheryl,My FAVORITE SCENT,I LOVE THESE MY FAVORITE PRODUCT,5
133,2021-05-09,MsBea,,Glad they finally got some in the stores!,5
134,2021-05-09,Marfendra,Positive!,Love having these on hand! Company coming? A quick swipe or two spiffs up the bathroom quickly and smells so clean!,5
135,2021-05-08,Nelle,Great For Your Family,"My family and I have been using these Clorox disinfecting wipes for years. We trust Clorox to protect us against bacteria, germs and viruses. We use these in every part of our home. Door knobs, the bathroom, the kitchen and even wiping down the kids toys. Leaves everything clean and smelling nice. The lemon scent is my absolute favorite. Makes the whole area smell like you've spent a hours cleaning. Works great on the stove too. Easily breaks down and wipes up grease and other touch splatters and spills like tomato sauce. We've really counted on these the last two years to keep us safe and I am happy to report we have stayed safe and haven't been sick the entire two years. For that, I am very thankful to Clorox.",5
136,2021-05-08,Angelita,,I am glad I was finally able to purchase this merchandise after months of trying to buy disinfectant wipes.,5
137,2021-05-08,William,,"Excellent product, packaged well.",5
138,2021-05-07,Sally,Great for cleaning and sanitizing.,"Super for cleaning and sanitizing, takes care of small spills.",5
139,2021-05-05,karmo,,"The best cleaning the counter, doorknobs , sink , toilet seats and whatever else you need for cleaning, wipes",5
140,2021-05-03,Karen,Finally back in stock!,These clean well and also disinfect.,5
141,2021-05-03,I have no nickname,I Hate This New Product,"[This review was collected as part of a promotion.] Where are my original Clorox Wipes? Not the kind that are 'disinfecting wipes'; that is peroxide and that does not clean the way I like. I know, I know. It SAYS that it kills COVID-19. I don't care. I simply want to clean my kitchen and my bathrooms.
I have used and currently use a LOT of Clorox products. Just bring back the Wipes and get rid of the imitations.",1
142,2021-05-03,Candi,Not like it was before,It is alot thinner than before and there is no scrubbing textures,4
143,2021-05-02,BBC,"clorox, the best","The best, it's clorox.. Lucky to get them",5
144,2021-04-30,Anna,,"Got a 3 pack for less than $ 10.00. Had been having difficulty getting these disinfecting wipes, Great that I was able to get some at Walmart and at a good price.",5
145,2021-04-30,C Cochran,Love these wipes,[This review was collected as part of a promotion.] I bought these last week and LOVE them. I have 3 boys and these are very handy. I use them in my bathrooms daily.,5
146,2021-04-29,Louise,,Always use these Thankful I can purchase them at Walmart and have them delivered at a great price,5
147,2021-04-29,Cheryl,,Great Value for one of the best disinfecting wipes they are. Wipes are very strong.,5
148,2021-04-29,likeshrimp,Sanitizes To My Satisfaction,What can you say about wipes these make me feel secure when cleaning my home,5
149,2021-04-28,Gennett,Easy Cleanup,"I use Clorox most of the time. I find this product to be an easy clean up, very convenient.",5
150,2021-04-28,Cheryl,Clorox wipes,Glad to have them back on the shelves after having to make my own for over a year.,5
151,2021-04-28,MELISSA,Everyone needs wipes,Who dont need these!!! My favorite brand of disinfectant wipes! I got 3 packs now!,5
152,2021-04-27,Muthamouth,"Clorox Disinfecting Wipes, (225",Great disinfectant ! Grab,5
153,2021-04-26,SPRINGER,Clorox Wipes,Clorox wipes have a rough texture on one side that makes a difference!!!!,5
154,2021-04-26,Marylouise,Messes,Very nice and easy to clean up messes with,5
155,2021-04-25,Jean,,Cleans up bathroom especially nicely!,5
156,2021-04-24,Mildred,Trusting based on advertising.,I like being able to put one in each important room. Plus there is extra until I received the next Order.,5
157,2021-04-24,Tommie,A 10,"This does a good job, it clean and kills germs and you counters etc smells great",5
158,2021-04-23,Irma,Great customer service.,Have always liked Clorox products. First batch they had packaged laying flat in the box. The liquid spilled out,4
159,2021-04-22,Wanda,,ive used this brand forever disinfect so well,5
160,2021-04-22,JOANNE,,"These Clorox disinfecting wipes are great. I just love them and due to the Pandemic, they are very hard to find. I am, however, disappointed that the wipes were delivered to me without being packed in a cardboard box. They were just sitting on my porch, without the benefit of being packed in a box.",5
161,2021-04-21,ccm,,"These help but still somehow we got a stomach virus and we use these and the sprays, and swifter pads every day",5
162,2021-04-21,sandrafloerke,,good. disinfectant. esential item,5
163,2021-04-21,Nama,,I use these to keep everything sanitized . In my home with the pandemic and also used before .,5
164,2021-04-20,MissHeather,"Been a staple MANY MOONS,waay b4Covid...",These have been MY GO TO since many many MOOONS before Covid EVER came along!! Kept my family safe since and before! Ill ALWAYS have these on hand!,5
165,2021-04-20,mayra,Good product..Terrible packing,"I love Clorox Wipes..BUT I ordered this online..and the packaging was awful..Walmart did not cover it with another plastic bag and the person who packed put it the worng way..sooo Water was in the box..and other items were wet, Please take note of this in order to teach the packing people",3
166,2021-04-18,Jim,FAST AS LIGHTENING!!!!!,SPEEDY DELIVERY and Cannot be Happier!!! Thanks so much!!! WE LOVE WALMART!,5
167,2021-04-18,Adie56,Disinfectant Wipes,"Because of COVID especially, I am grateful for disinfectant wipes and glad they are back on the market. Also, I have had cancer and like to disinfect counters, steering wheel in my car, phone and purse.",5
168,2021-04-18,jeff,,Wonderful to keep everything clean and safe,5
169,2021-04-18,China,Pass the wipes.,I want my house fully protected and sanitized during Covid.,5
170,2021-04-16,Fgn,Good items,Good purchase for the price and shipping good,5
171,2021-04-13,Andreea,,I use them all over the house,5
172,2021-04-12,Msis,Good item,Great for sanitizing. Not to small not to big.,5
173,2021-04-12,memaw,Sanitary wipe ups,Handy to keep in the bathroom and kitchen for wipe ups!,5
174,2021-04-12,Bethany,Finaly been able to get these,I just glad I finally was able to get these since the pandemic started I have not been able to get any I need these for my own medical conditions . I get Mrsa out breaks often I had so many of them since pandemic started and have not been able to disinfect anything I touched so I kept getting the infection. So I am just glad I finally able to get some of them. Mrsa when you have a Mrsa out back or flare up your consider very contagious.,5
175,2021-04-11,Phyllis,Dont understand why buy a 3 pack,They came not in one pack together all 3 Came separate,1
176,2021-04-11,Lonnifer,Love this brand,Always have trusted Clorox brand. Haven't used yet. Love lemon scent from previous uses.,5
177,2021-04-11,Nancy,Back in Stock,"Tough to find. First time finding in more than a year,",5
178,2021-04-10,TRP,Refreshing and trustworthy,"Name brand that has been known in the cleaning industry for years. These wipes are a good size, and come out of the container without rubbing or tearing on a rough plastic like the less expensive brands. They are easily torn apart on taking out of the container, where as some other brands many cloths are wasted because 3-5 come out at once. There is a nice, refreshing scent without being too harsh and abrasive. Also, the individual cloths are moist so you know you are getting some cleaner with them. Most other brands come out dry. I've even had to pour more cleaner in half used containers of other brands directly over the cloths because they were dried out. Waste of money. During this time of Covid we have depended on these and had a container in almost every room, as well as the car. We simply trust them. And, will continue to have available in our home long after we get back to ""normal"".",5
179,2021-04-10,lizard55,Awesome clean,Smells good and they disinfect,5
180,2021-04-10,Yoshira,Great Product!,Product is great! only issue was either the packaging or delivery service since I ordered 2 packs one of them came soaked not sure If it open and spilled all over or of there was a hole.,4
181,2021-04-09,kim,Clorox the cleaner clean,Clorox has always been a good man and the whites are even more convenient very moist it does the job well,5
182,2021-04-08,Jo,LOVE THEM!,THESE WIPES DOES IT ALL. I SIT OUTSIDE ON THE PATIO NOW AND USE THESE TO WIPE OFF THE CHAIRS AND SMALL TABLE,5
183,2021-04-08,Dediea,Great Selection,Fast delivery and excellent price,5
184,2021-04-08,Hildy,,Great quality and product!,5
185,2021-04-07,Debbie,Back in Stock!,"So pleased they are back in stock. Able to complete my order before getting the ""I sorry this item is no longer in stock"" message. Quality as expected.",5
186,2021-04-07,Diana,Poor packaging for the Clorox disinfecting wipes,"I just received this order delivery today and I have to tell you that Im so disappointed with regard to the packaging. The box was wet on one side and I could smell the strong contents of the Clorox disinfecting wipes coming from the inside! I had not opened the box at that point but the smell was so strong so you can imagine once I did open the contents! Paper was inserted into the box but there was no other type of wrapping other than what the item came with. The contents was soaked and two of the containers lids were slightly opened! Liquid was all over, it was a huge mess!! Needless to say I will not be ordering this item from Walmart in the future! With COVID-19 in effect and being handicapped I thought ordering any product would be safe not to mention convenient, but little did I know I was wrong!! I have ordered laundry soap liquid as well as other types of liquids and have not experienced this issue! Not happy with this at all. Im hoping that when I do use the item there will be liquid left inside that keeps the wipes moist!",1
187,2021-04-07,Sandy,,Love Clorox wipes ! Great product!,5
188,2021-04-06,Stephanie,,The inside of the box was wet. The labels on the clorox containers are coming off from being wet. The wipes seem to still be wet but I'm afraid they may not be as effective if the wetness is from the wiped themselves.,1
189,2021-04-05,GRACE,,Great for cleaning and disinfecting,5
190,2021-04-05,Nicole,Clorox Wipes - Good Buy,This was my first time trying this product and I really liked it. The texture is great and the little ridges made it felt more like a thin towel than a wipe. I will definitely buy it again.,5
191,2021-04-05,Lody27,Powerful wipes.,The best wipes and kill bacteria.,5
192,2021-04-04,leegl,a good buy,I purchase these all the time and like what I see. You can use them for any cleaning project you have around the house.,5
193,2021-04-04,Helyn,Glad these are back,"So happy to get these Clorox wipes. They became a fixture on a several counters in my home over the years. Yes I know there are other brands available, but Clorox has/is my go to wipe with confidence.",5
194,2021-04-03,Minnie,,They fine except one containers lid is broken and leaked inside of shipping box,3
195,2021-04-03,Raynelove19,Great price and quality,"This is definitely a quality buy for a great price! Especially with all that has been going on with quarantine and health changes worldwide. No complaints here, satisfied customer! Keep this in stock please we need it.",5
196,2021-04-01,tomvilla60,Thorough cleaning satisfaction,Makes cleaning easier and I know it is the cleanest it can be .,5
197,2021-03-31,Linda,Bleach wipes,"Very pleased, availability, we needed bleach wipes because of an infection someone in the family had and you can always know that Clorox works.",5
198,2021-03-31,Belinda,Excellent product,Great product and perfect for my needs,5
199,2021-03-31,Priscilla,SO PERFECT!,Good product and I love it! The surrounding inside my house it feels clean after I used this Clorox disinfecting wipes. It helps also to prevent bacteria or germs.,5
200,2021-03-30,Aisha,,Too expensive for only a 3 pack. Sam's carry it 5 pack for 10.00 and here 10 for only 3,1
201,2021-03-30,Kristie,Great,Always loved Clorox products!,5
202,2021-03-30,Guadalupe,,Great for cleaning anything,5
203,2021-03-29,Ginny,,Works great to clean everything,5
204,2021-03-29,Rachel,Where have you been? Clorox?,"As we all know, during COVID-19, everything Clorox disappeared. Now that I'm able to re-purchase, I bought a three pack of these to have on hand. Honestly, because I had to make do with Lysol instead of Clorox through the pandemic, I now prefer Lysol. The Clorox wipes actually stink, as in smell.",3
205,2021-03-29,Rick,A welcome return.,"These are great wipes. When Covid hit these disappeared, and Im so happy to see them back. So convenient and powerful. Thanks for bringing them back!",5
206,2021-03-28,MSGE55,Clorox Wipes,It was great. About to go into the house when the young delivery lady was dropping off my delivery packages.,5
207,2021-03-28,beatriz,Bust a quicky,They work great for those times unexpected company shows up and you want to give everything a fast wipe.,5
208,2021-03-27,sef3,"Clorox Disinfecting Wipes,",These are great for clean up and the smell is not strong,5
209,2021-03-25,Elizabeth,,Product is good. I want to give a big thanks to the delivery person who delivered it to my front door.,5
210,2021-03-25,Candy,"Thank you, thank you, thank you!",I AM FULL OF JOY THE DISINFECTANT WIPES ARE OUT! I WANT TO DO CARTWHEELS RIGHT NOW! LOL!,5
211,2021-03-25,Jacqueline,,Kills germs. Removes dirt and grim.,5
212,2021-03-24,amym370,Wonderful product! I use,Wonderful product! I use these wipes daily to disinfect things within my home and in my classroom. They smell nice and the chemicals are not overpowering when cleaning around children.,5
213,2021-03-24,Gazebo,,"Happy finally available again, price did go up a few dollars.",5
214,2021-03-24,CheriseR,,"wipes worked as expected and appeared as shown on site, thanks!",5
215,2021-03-24,None,,Clorox has been a staple in my home a long time.,4
216,2021-03-24,katlynnshawnp,I use these to,"I use these to wipe everything down everyday and the smell is amazing and they are long lasting I highly recommend to use these to stop the spread of virus and other germs that need to be gone so these at 100% effective and I do buy them everytime I run out CPC BLYSOW Lysol Disinfecting Wipes Lemon 75-Wipe Scent, Case of 6",5
217,2021-03-23,jessicaw826,I always try to,"I always try to have these Clorox disinfecting wipes on hand in our household. I love the fresh lemon scent that makes the house smell extra clean. The container is convenient and easy to use, especially when cleaning spills and messes. Try these!",5
218,2021-03-23,Schieber,,I could have danced for joy when I was finally able to purchase these. Waited patiently through the whole pandemic to be able to get them. Thank you,5
219,2021-03-22,roseofsharon55,,"Always liked them, always will, everything so clean",5
220,2021-03-22,artgal7,The BEST Brand available by far!,There's no better product for disinfecting wipes that clean also than Clorox Disinfecting Wipes. I'm so happy that they are finally becoming available to the general public again.,5
221,2021-03-22,PeggyAnn,Awesome,Love your availability of all products I want.,5
222,2021-03-21,Tamisha,,Loved that I could order this,5
223,2021-03-21,SmartValueBuyer,Good Wipe for the going-on pandemic,Very pleased to find this at Walmart. This brand always gives me the peace of mind.,5
224,2021-03-20,pjh1,Nana,Love the lemon fresh; I have one in the kitchen and the bathrooms also.,5
225,2021-03-19,Nilsa,Very Satisfied,What I like about this product is that its finally available in bulk size yay!!!!!,5
226,2021-03-19,franklinmullar,Very nice product....good for,"Very nice product....good for disinfection surfaces at home, I have one in my home and my office. I highly recommend",4
227,2021-03-18,Gwen,,"Excellent for wiping down doorknobs, sinks etc and smells good!",5
228,2021-03-17,Kelly,,lid of the middle container was cracked/broken. Items were placed in the box on its side so liquid leaked all over the box and other containers. I assume these wipes will dry up quickly and be useless for me.,1
229,2021-03-17,Queenbutterfly,,"Great wipes, exactly as ordered!",5
230,2021-03-17,Guadalupe,,Clorox is extremely helpful for cleaning and sanitizing. I personally love this product.,5
231,2021-03-17,mayurip5,These are portable and,These are portable and easy to use. They smell great and are great for disinfecting surfaces on the go.,5
232,2021-03-16,Benjamin,Good item,I really like my whips because helps with this virus,5
